Final TrueSkill Ratings:
Team ID: 38980, Mu: 30.14, Sigma: 3.28, Region: Utah
Team ID: 33793, Mu: 21.02, Sigma: 3.81, Region: Virginia
Team ID: 50947, Mu: 14.779999999999998, Sigma: 4.76, Region: Maryland
Team ID: 61439, Mu: 20.58, Sigma: 3.68, Region: Virginia
Team ID: 50394, Mu: 33.0, Sigma: 3.23, Region: Virginia
Team ID: 22168, Mu: 22.43, Sigma: 3.43, Region: Maryland
Team ID: 60964, Mu: 29.87, Sigma: 3.22, Region: Michigan
Team ID: 28312, Mu: 10.78, Sigma: 4.12, Region: Illinois
Team ID: 56414, Mu: 39.45, Sigma: 3.91, Region: Wisconsin
Team ID: 58670, Mu: 20.34, Sigma: 3.69, Region: Ohio
Team ID: 60589, Mu: 26.500000000000004, Sigma: 3.4, Region: Ohio
Team ID: 54779, Mu: 34.01, Sigma: 5.86, Region: Barcelona
Team ID: 60902, Mu: 22.01, Sigma: 5.7, Region: Barcelona
Team ID: 61218, Mu: 17.08, Sigma: 6.120000000000001, Region: Barcelona
Team ID: 49465, Mu: 25.47, Sigma: 6.34, Region: Barcelona
